Year,LGA,ABB_NAME,Lat,Long,Percentage Difference
2019,QUEENSCLIFFE,Queenscliffe,-38.2667,144.65,-83.33
2019,MORNINGTON PENINSULA,Mornington Peninsula,-38.4333,145,-72.51
2019,MANNINGHAM,Manningham,-37.767,145.2,-71.81
2019,CASEY,Casey,-38.09,145.323,-82.3
2019,WHITEHORSE,Whitehorse,-37.833,145.15,-66.77
2019,KINGSTON,Kingston,-37.983,145.1,-65.22
2019,CARDINIA,Cardinia,-38.083,145.583,-64.75
2019,MELBOURNE,Melbourne,-37.8136,144.9631,-64.67
2019,MONASH,Monash,-37.883,145.167,-64.4
2019,BANYULE,Banyule,-37.7333,145.0833,-64.32
2019,ALPINE,Alpine,-36.52678332,146.6854467,-63.33
2019,BOROONDARA,Boroondara,-37.817,145.067,-63.09
2019,YARRA,Yarra,-37.817,145,-63.03
2019,STONNINGTON,Stonnington,-37.8562,145.0296,-62.94
2019,WHITTLESEA,Whittlesea,-37.55,145.083,-62.56
2019,HUME,Hume,-37.683,144.917,-61.25
2019,KNOX,Knox,-37.883,145.217,-61.13
2019,DAREBIN,Darebin,-37.733,145.017,-60.99
2019,BRIMBANK,Brimbank,-37.75,144.8,-60.95
2019,BASS COAST,Bass Coast,-38.5333,145.5333,-60.24
2019,MACEDON RANGES,Macedon Ranges,-37.35,144.6167,-59.6
2019,MORELAND,Moreland,-37.733,144.95,-59.43
2019,MOONEE VALLEY,Moonee Valley,-37.767,144.917,-58.85
2019,NORTHERN GRAMPIANS,Northern Grampians,-36.65,143.0167,-58.82
2019,BALLARAT,Ballarat,-37.5609,143.855,-58.82
2019,BAW BAW,Baw Baw,-37.95,146.1167,-58.49
2019,GLEN EIRA,Glen Eira,-37.733,145.05,-58.16
2019,BAYSIDE,Bayside,-37.88654761,144.9916483,-57.83
2019,PORT PHILLIP,Port phillip,-37.85,144.967,-57.71
2019,MAROONDAH,Maroondah,-37.809,145.23,-57
2019,DANDENONG,Greater Dandenong,-37.9875,145.2149,-56.94
2019,HOBSONS BAY,Hobsons Bay,-37.85,144.833,-56.74
2019,MARIBYRNONG,Maribyrnong,-37.77,144.893,-56.1
2019,GEELONG,Geelong,-38.15,144.35,-55.6
2019,NILLUMBIK,Nillumbik,-37.633,145.233,-54.68
2019,FRANKSTON,Frankston,-38.1414,145.1225,-54.32
2019,SOUTHERN GRAMPIANS,Southern Grampians,-37.5167,142.0333,-51.43
2019,WYNDHAM,Wyndham,-37.9,144.667,-50.88
2019,ARARAT,Ararat,-37.2833,142.9167,-50
2019,MOUNT ALEXANDER,Mount Alexander,-37.0667,144.2167,-50
2019,MELTON,Melton,-37.6827,144.5741,-49.44
2019,YARRA RANGES,Yarra Ranges,-37.733,145.683,-46.41
2019,MANSFIELD,Mansfield,-37.05,146.0833,-36.59
2019,SURF COAST,Surf Coast,-38.3,144,-33.33
2019,SOUTH GIPPSLAND,South Gippsland,-38.5833,146,-32.88
2019,GOLDEN PLAINS,Golden Plains,-38.0167,143.9667,-32.84
2019,EAST GIPPSLAND,East Gippsland,-37.4833,148.1667,-31.11
2019,COLAC OTWAY,Colac Otway,-38.3333,143.5833,-27.91
2019,STRATHBOGIE,Strathbogie,-36.75,145.5667,-25.64
2019,BENDIGO,Greater Bendigo,-36.7593,144.284,-23.95
2019,LODDON,Loddon,-36.4183,143.8667,-20.69
2019,CENTRAL GOLDFIELDS,Central Goldfields,-37.05,143.7333,-18.75
2019,TOWONG,Towong,-36.3167,147.4833,-18.42
2019,SHEPPARTON,Greater Shepparton,-36.3833,145.4,-18.37
2019,HORSHAM,Horsham,-36.833,142.083,-17.39
2019,HEPBURN,Hepburn,-37.3139,144.1378,-16.22
2019,MURRINDINDI,Murrindindi,-37.3333,145.5,-16.19
2019,MITCHELL,Mitchell,-37.1,145.0667,-15.63
2019,HINDMARSH,Hindmarsh,-36.1333,141.65,-15.38
2019,MILDURA,Mildura,-34.1833,142.15,-15
2019,BULOKE,Buloke,-36,142.9878,-14.29
2019,CAMPASPE,Campaspe,-36.3611,144.7339,-13.33
2019,WANGARATTA,Wangaratta,-36.357,146.3202,-13.33
2019,SWAN HILL,Swan Hill,-35.3406,143.5606,-13.33
2019,LATROBE,Latrobe,-38.1806,146.2783,-11.95
2019,WARRNAMBOOL,Warrnambool,-38.3865,142.4821,-11.76
2019,MOORABOOL,Moorabool,-37.6,144.25,-10.64
2019,MOYNE,Moyne,-38.367,142.233,-10.29
2019,WELLINGTON,Wellington,-37.8833,146.9833,-10.24
2019,GANNAWARRA,Gannawarra,-35.7167,143.9167,-9.09
2019,WEST WIMMERA,West Wimmera,-36.7167,141.4667,-9.09
2019,INDIGO,Indigo,-36.1885,146.7466,-8.33
2019,GLENELG,Glenelg,-38,141.6667,-7.02
2019,BENALLA,Benalla,-36.5519,145.9817,-6.25
2019,PYRENEES,Pyrenees,-37.1667,143.4167,-6.25
2019,WODONGA,Wodonga,-36.1214,146.8881,-5.97
2019,MOIRA,Moira,-36.0833,145.65,-4.41
2019,CORANGAMITE,Corangamite,-38.2333,143.15,-4.08
2019,YARRIAMBIACK,Yarriambiack,-36.25,142.4167,-2.13
2018,QUEENSCLIFFE,Queenscliffe,-38.2667,144.65,-74.997
2018,MORNINGTON PENINSULA,Mornington Peninsula,-38.4333,145,-65.259
2018,MANNINGHAM,Manningham,-37.767,145.2,-64.629
2018,CASEY,Casey,-38.09,145.323,-74.07
2018,WHITEHORSE,Whitehorse,-37.833,145.15,-60.093
2018,KINGSTON,Kingston,-37.983,145.1,-58.698
2018,CARDINIA,Cardinia,-38.083,145.583,-58.275
2018,MELBOURNE,Melbourne,-37.8136,144.9631,-58.203
2018,MONASH,Monash,-37.883,145.167,-57.96
2018,BANYULE,Banyule,-37.7333,145.0833,-57.888
2018,ALPINE,Alpine,-36.52678332,146.6854467,-56.997
2018,BOROONDARA,Boroondara,-37.817,145.067,-56.781
2018,YARRA,Yarra,-37.817,145,-56.727
2018,STONNINGTON,Stonnington,-37.8562,145.0296,-56.646
2018,WHITTLESEA,Whittlesea,-37.55,145.083,-56.304
2018,HUME,Hume,-37.683,144.917,-55.125
2018,KNOX,Knox,-37.883,145.217,-55.017
2018,DAREBIN,Darebin,-37.733,145.017,-54.891
2018,BRIMBANK,Brimbank,-37.75,144.8,-54.855
2018,BASS COAST,Bass Coast,-38.5333,145.5333,-54.216
2018,MACEDON RANGES,Macedon Ranges,-37.35,144.6167,-53.64
2018,MORELAND,Moreland,-37.733,144.95,-53.487
2018,MOONEE VALLEY,Moonee Valley,-37.767,144.917,-52.965
2018,NORTHERN GRAMPIANS,Northern Grampians,-36.65,143.0167,-52.938
2018,BALLARAT,Ballarat,-37.5609,143.855,-52.938
2018,BAW BAW,Baw Baw,-37.95,146.1167,-52.641
2018,GLEN EIRA,Glen Eira,-37.733,145.05,-52.344
2018,BAYSIDE,Bayside,-37.88654761,144.9916483,-52.047
2018,PORT PHILLIP,Port phillip,-37.85,144.967,-51.939
2018,MAROONDAH,Maroondah,-37.809,145.23,-51.3
2018,DANDENONG,Greater Dandenong,-37.9875,145.2149,-51.246
2018,HOBSONS BAY,Hobsons Bay,-37.85,144.833,-51.066
2018,MARIBYRNONG,Maribyrnong,-37.77,144.893,-50.49
2018,GEELONG,Geelong,-38.15,144.35,-50.04
2018,NILLUMBIK,Nillumbik,-37.633,145.233,-49.212
2018,FRANKSTON,Frankston,-38.1414,145.1225,-48.888
2018,SOUTHERN GRAMPIANS,Southern Grampians,-37.5167,142.0333,-46.287
2018,WYNDHAM,Wyndham,-37.9,144.667,-45.792
2018,ARARAT,Ararat,-37.2833,142.9167,-45
2018,MOUNT ALEXANDER,Mount Alexander,-37.0667,144.2167,-45
2018,MELTON,Melton,-37.6827,144.5741,-44.496
2018,YARRA RANGES,Yarra Ranges,-37.733,145.683,-41.769
2018,MANSFIELD,Mansfield,-37.05,146.0833,-32.931
2018,SURF COAST,Surf Coast,-38.3,144,-29.997
2018,SOUTH GIPPSLAND,South Gippsland,-38.5833,146,-29.592
2018,GOLDEN PLAINS,Golden Plains,-38.0167,143.9667,-29.556
2018,EAST GIPPSLAND,East Gippsland,-37.4833,148.1667,-27.999
2018,COLAC OTWAY,Colac Otway,-38.3333,143.5833,-25.119
2018,STRATHBOGIE,Strathbogie,-36.75,145.5667,-23.076
2018,BENDIGO,Greater Bendigo,-36.7593,144.284,-21.555
2018,LODDON,Loddon,-36.4183,143.8667,-18.621
2018,CENTRAL GOLDFIELDS,Central Goldfields,-37.05,143.7333,-16.875
2018,TOWONG,Towong,-36.3167,147.4833,-16.578
2018,SHEPPARTON,Greater Shepparton,-36.3833,145.4,-16.533
2018,HORSHAM,Horsham,-36.833,142.083,-15.651
2018,HEPBURN,Hepburn,-37.3139,144.1378,-14.598
2018,MURRINDINDI,Murrindindi,-37.3333,145.5,-14.571
2018,MITCHELL,Mitchell,-37.1,145.0667,-14.067
2018,HINDMARSH,Hindmarsh,-36.1333,141.65,-13.842
2018,MILDURA,Mildura,-34.1833,142.15,-13.5
2018,BULOKE,Buloke,-36,142.9878,-12.861
