Hour,Day Week Description,Count of Accident No
0,Monday,10
1,Monday,5
2,Monday,1
3,Monday,8
4,Monday,8
5,Monday,15
6,Monday,24
7,Monday,39
8,Monday,51
9,Monday,42
10,Monday,42
11,Monday,37
12,Monday,39
13,Monday,48
14,Monday,50
15,Monday,77
16,Monday,56
17,Monday,68
18,Monday,46
19,Monday,24
20,Monday,17
21,Monday,17
22,Monday,11
23,Monday,11
0,Tuesday,8
1,Tuesday,6
2,Tuesday,4
3,Tuesday,9
4,Tuesday,8
5,Tuesday,16
6,Tuesday,33
7,Tuesday,50
8,Tuesday,53
9,Tuesday,54
10,Tuesday,42
11,Tuesday,52
12,Tuesday,49
13,Tuesday,43
14,Tuesday,54
15,Tuesday,69
16,Tuesday,73
17,Tuesday,72
18,Tuesday,56
19,Tuesday,31
20,Tuesday,24
21,Tuesday,24
22,Tuesday,16
23,Tuesday,11
0,Wednesday,13
1,Wednesday,12
2,Wednesday,10
3,Wednesday,7
4,Wednesday,5
5,Wednesday,16
6,Wednesday,35
7,Wednesday,42
8,Wednesday,70
9,Wednesday,28
10,Wednesday,51
11,Wednesday,41
12,Wednesday,61
13,Wednesday,53
14,Wednesday,59
15,Wednesday,75
16,Wednesday,68
17,Wednesday,80
18,Wednesday,58
19,Wednesday,30
20,Wednesday,25
21,Wednesday,25
22,Wednesday,19
23,Wednesday,15
0,Thursday,8
1,Thursday,6
2,Thursday,7
3,Thursday,2
4,Thursday,7
5,Thursday,20
6,Thursday,40
7,Thursday,55
8,Thursday,66
9,Thursday,39
10,Thursday,65
11,Thursday,44
12,Thursday,59
13,Thursday,55
14,Thursday,63
15,Thursday,88
16,Thursday,90
17,Thursday,78
18,Thursday,47
19,Thursday,36
20,Thursday,27
21,Thursday,35
22,Thursday,18
23,Thursday,16
0,Friday,3
1,Friday,2
2,Friday,2
3,Friday,5
4,Friday,8
5,Friday,15
6,Friday,47
7,Friday,35
8,Friday,42
9,Friday,50
10,Friday,61
11,Friday,39
12,Friday,63
13,Friday,60
14,Friday,77
15,Friday,71
16,Friday,88
17,Friday,74
18,Friday,65
19,Friday,40
20,Friday,36
21,Friday,34
22,Friday,25
23,Friday,21
0,Saturday,15
1,Saturday,16
2,Saturday,7
3,Saturday,9
4,Saturday,5
5,Saturday,6
6,Saturday,16
7,Saturday,29
8,Saturday,40
9,Saturday,42
10,Saturday,61
11,Saturday,75
12,Saturday,61
13,Saturday,67
14,Saturday,60
15,Saturday,73
16,Saturday,65
17,Saturday,61
18,Saturday,52
19,Saturday,43
20,Saturday,31
21,Saturday,28
22,Saturday,25
23,Saturday,13
0,Sunday,15
1,Sunday,11
2,Sunday,7
3,Sunday,9
4,Sunday,7
5,Sunday,7
6,Sunday,8
7,Sunday,9
8,Sunday,24
9,Sunday,30
10,Sunday,45
11,Sunday,53
12,Sunday,76
13,Sunday,59
14,Sunday,46
15,Sunday,60
16,Sunday,56
17,Sunday,45
18,Sunday,47
19,Sunday,34
20,Sunday,15
21,Sunday,27
22,Sunday,23
23,Sunday,12
