Hour,Day of Week,No Persons Killed 2019,No Persons Killed 2019,No Persons Killed 2020,Difference
16,Monday,40,4,0,-4
15,Wednesday,29,2.9,0,-2.9
6,Friday,28,2.8,0,-2.8
16,Saturday,28,2.8,0,-2.8
11,Friday,27,2.7,0,-2.7
14,Tuesday,25,2.5,0,-2.5
16,Thursday,24,2.4,0,-2.4
20,Monday,24,2.4,0,-2.4
14,Thursday,23,2.3,0,-2.3
18,Tuesday,23,2.3,0,-2.3
23,Saturday,23,2.3,0,-2.3
13,Monday,32,3.2,1,-2.2
11,Saturday,21,2.1,0,-2.1
14,Wednesday,21,2.1,0,-2.1
16,Sunday,21,2.1,0,-2.1
17,Tuesday,21,2.1,0,-2.1
20,Saturday,21,2.1,0,-2.1
12,Sunday,30,3,1,-2
2,Monday,19,1.9,0,-1.9
11,Wednesday,19,1.9,0,-1.9
18,Friday,19,1.9,0,-1.9
1,Monday,18,1.8,0,-1.8
18,Saturday,18,1.8,0,-1.8
20,Sunday,18,1.8,0,-1.8
14,Saturday,28,2.8,1,-1.8
15,Sunday,28,2.8,1,-1.8
16,Tuesday,27,2.7,1,-1.7
11,Sunday,17,1.7,0,-1.7
7,Thursday,16,1.6,0,-1.6
8,Sunday,16,1.6,0,-1.6
8,Saturday,16,1.6,0,-1.6
10,Sunday,16,1.6,0,-1.6
20,Tuesday,16,1.6,0,-1.6
9,Thursday,15,1.5,0,-1.5
13,Saturday,25,2.5,1,-1.5
19,Sunday,25,2.5,1,-1.5
19,Monday,15,1.5,0,-1.5
21,Sunday,25,2.5,1,-1.5
21,Thursday,15,1.5,0,-1.5
3,Sunday,14,1.4,0,-1.4
10,Saturday,14,1.4,0,-1.4
17,Saturday,24,2.4,1,-1.4
20,Friday,14,1.4,0,-1.4
23,Tuesday,14,1.4,0,-1.4
6,Wednesday,13,1.3,0,-1.3
6,Monday,13,1.3,0,-1.3
10,Monday,13,1.3,0,-1.3
12,Friday,13,1.3,0,-1.3
18,Sunday,13,1.3,0,-1.3
8,Friday,23,2.3,1,-1.3
11,Thursday,23,2.3,1,-1.3
21,Saturday,23,2.3,1,-1.3
16,Wednesday,22,2.2,1,-1.2
1,Saturday,12,1.2,0,-1.2
2,Saturday,12,1.2,0,-1.2
7,Saturday,12,1.2,0,-1.2
7,Wednesday,12,1.2,0,-1.2
9,Friday,12,1.2,0,-1.2
23,Wednesday,12,1.2,0,-1.2
6,Thursday,21,2.1,1,-1.1
7,Tuesday,11,1.1,0,-1.1
7,Monday,11,1.1,0,-1.1
10,Thursday,11,1.1,0,-1.1
14,Monday,21,2.1,1,-1.1
19,Wednesday,11,1.1,0,-1.1
20,Wednesday,11,1.1,0,-1.1
22,Sunday,11,1.1,0,-1.1
22,Monday,11,1.1,0,-1.1
2,Friday,10,1,0,-1
5,Sunday,10,1,0,-1
5,Saturday,10,1,0,-1
5,Monday,10,1,0,-1
9,Wednesday,10,1,0,-1
13,Wednesday,10,1,0,-1
22,Friday,10,1,0,-1
3,Saturday,9,0.9,0,-0.9
3,Monday,9,0.9,0,-0.9
12,Thursday,19,1.9,1,-0.9
15,Saturday,29,2.9,2,-0.9
17,Monday,19,1.9,1,-0.9
5,Tuesday,18,1.8,1,-0.8
6,Sunday,8,0.8,0,-0.8
8,Wednesday,18,1.8,1,-0.8
13,Tuesday,18,1.8,1,-0.8
