Month,Year,Month Names,Count
1,2020,January,"1,096"
2,2020,February,"1,182"
3,2020,March,"1,012"
4,2020,April,502
5,2020,May,777
6,2020,June,479
7,2020,July,429
8,2020,August,335
9,2020,September,154
10,2020,October,89
11,2020,November,110
12,2020,December,132
1,2019,January,"1,021"
2,2019,February,"1,067"
3,2019,March,"1,133"
4,2019,April,"1,056"
5,2019,May,"1,157"
6,2019,June,"1,023"
7,2019,July,"1,230"
8,2019,August,"1,264"
9,2019,September,"1,229"
10,2019,October,"1,413"
11,2019,November,"1,354"
12,2019,December,"1,217"
1,2018,January,"1,009"
2,2018,February,"1,067"
3,2018,March,"1,222"
4,2018,April,"1,040"
5,2018,May,"1,115"
6,2018,June,"1,023"
7,2018,July,"1,062"
8,2018,August,"1,082"
9,2018,September,952
10,2018,October,"1,117"
11,2018,November,"1,070"
12,2018,December,"1,038"
1,2017,January,"1,040"
2,2017,February,"1,198"
3,2017,March,"1,340"
4,2017,April,"1,131"
5,2017,May,"1,160"
6,2017,June,"1,081"
7,2017,July,"1,044"
8,2017,August,"1,062"
9,2017,September,922
10,2017,October,"1,134"
11,2017,November,"1,183"
12,2017,December,"1,098"
