Year,Hour,Day Week Description,Normal,Baseline,Difference
2019,0,Monday,17,10,-7
2019,1,Monday,12,5,-7
2019,2,Monday,17,1,-16
2019,3,Monday,9,8,-1
2019,4,Monday,13,8,-5
2019,5,Monday,29,15,-14
2019,6,Monday,79,24,-55
2019,7,Monday,104,39,-65
2019,8,Monday,152,51,-101
2019,9,Monday,91,42,-49
2019,10,Monday,90,42,-48
2019,11,Monday,98,37,-61
2019,12,Monday,125,39,-86
2019,13,Monday,129,48,-81
2019,14,Monday,108,50,-58
2019,15,Monday,171,77,-94
2019,16,Monday,170,56,-114
2019,17,Monday,159,68,-91
2019,18,Monday,113,46,-67
2019,19,Monday,67,24,-43
2019,20,Monday,56,17,-39
2019,21,Monday,39,17,-22
2019,22,Monday,35,11,-24
2019,23,Monday,19,11,-8
2019,0,Tuesday,21,8,-13
2019,1,Tuesday,21,6,-15
2019,2,Tuesday,7,4,-3
2019,3,Tuesday,5,9,4
2019,4,Tuesday,12,8,-4
2019,5,Tuesday,24,16,-8
2019,6,Tuesday,92,33,-59
2019,7,Tuesday,112,50,-62
2019,8,Tuesday,169,53,-116
2019,9,Tuesday,102,54,-48
2019,10,Tuesday,116,42,-74
2019,11,Tuesday,105,52,-53
2019,12,Tuesday,93,49,-44
2019,13,Tuesday,114,43,-71
2019,14,Tuesday,128,54,-74
2019,15,Tuesday,189,69,-120
2019,16,Tuesday,181,73,-108
2019,17,Tuesday,185,72,-113
2019,18,Tuesday,166,56,-110
2019,19,Tuesday,88,31,-57
2019,20,Tuesday,58,24,-34
2019,21,Tuesday,54,24,-30
2019,22,Tuesday,45,16,-29
2019,23,Tuesday,38,11,-27
2019,0,Wednesday,26,13,-13
2019,1,Wednesday,12,12,0
2019,2,Wednesday,12,10,-2
2019,3,Wednesday,7,7,0
2019,4,Wednesday,13,5,-8
2019,5,Wednesday,30,16,-14
2019,6,Wednesday,86,35,-51
2019,7,Wednesday,120,42,-78
2019,8,Wednesday,162,70,-92
2019,9,Wednesday,121,28,-93
2019,10,Wednesday,93,51,-42
2019,11,Wednesday,102,41,-61
2019,12,Wednesday,116,61,-55
2019,13,Wednesday,114,53,-61
2019,14,Wednesday,141,59,-82
2019,15,Wednesday,177,75,-102
2019,16,Wednesday,164,68,-96
2019,17,Wednesday,208,80,-128
2019,18,Wednesday,164,58,-106
2019,19,Wednesday,91,30,-61
2019,20,Wednesday,73,25,-48
2019,21,Wednesday,63,25,-38
2019,22,Wednesday,50,19,-31
2019,23,Wednesday,27,15,-12
2019,0,Thursday,17,8,-9
2019,1,Thursday,13,6,-7
2019,2,Thursday,8,7,-1
2019,3,Thursday,10,2,-8
2019,4,Thursday,13,7,-6
2019,5,Thursday,38,20,-18
2019,6,Thursday,87,40,-47
2019,7,Thursday,129,55,-74
2019,8,Thursday,162,66,-96
2019,9,Thursday,112,39,-73
2019,10,Thursday,112,65,-47
2019,11,Thursday,98,44,-54
2019,12,Thursday,91,59,-32
2019,13,Thursday,107,55,-52
2019,14,Thursday,138,63,-75
2019,15,Thursday,196,88,-108
2019,16,Thursday,181,90,-91
2019,17,Thursday,188,78,-110
2019,18,Thursday,176,47,-129
2019,19,Thursday,93,36,-57
2019,20,Thursday,66,27,-39
2019,21,Thursday,61,35,-26
2019,22,Thursday,47,18,-29
2019,23,Thursday,28,16,-12
2019,0,Friday,26,3,-23
2019,1,Friday,13,2,-11
2019,2,Friday,11,2,-9
2019,3,Friday,8,5,-3
2019,4,Friday,14,8,-6
2019,5,Friday,26,15,-11
2019,6,Friday,76,47,-29
2019,7,Friday,102,35,-67
2019,8,Friday,162,42,-120
2019,9,Friday,119,50,-69
2019,10,Friday,113,61,-52
2019,11,Friday,138,39,-99
2019,12,Friday,125,63,-62
2019,13,Friday,136,60,-76
2019,14,Friday,138,77,-61
2019,15,Friday,204,71,-133
2019,16,Friday,217,88,-129
2019,17,Friday,179,74,-105
2019,18,Friday,129,65,-64
2019,19,Friday,116,40,-76
2019,20,Friday,78,36,-42
2019,21,Friday,72,34,-38
2019,22,Friday,59,25,-34
2019,23,Friday,57,21,-36
2019,0,Saturday,47,15,-32
2019,1,Saturday,32,16,-16
2019,2,Saturday,28,7,-21
2019,3,Saturday,21,9,-12
2019,4,Saturday,25,5,-20
2019,5,Saturday,25,6,-19
2019,6,Saturday,34,16,-18
2019,7,Saturday,55,29,-26
2019,8,Saturday,64,40,-24
2019,9,Saturday,98,42,-56
2019,10,Saturday,120,61,-59
2019,11,Saturday,138,75,-63
2019,12,Saturday,140,61,-79
2019,13,Saturday,142,67,-75
2019,14,Saturday,135,60,-75
2019,15,Saturday,125,73,-52
2019,16,Saturday,128,65,-63
2019,17,Saturday,119,61,-58
2019,18,Saturday,130,52,-78
2019,19,Saturday,73,43,-30
2019,20,Saturday,60,31,-29
2019,21,Saturday,55,28,-27
2019,22,Saturday,61,25,-36
2019,23,Saturday,49,13,-36
2019,0,Sunday,35,15,-20
2019,1,Sunday,30,11,-19
2019,2,Sunday,31,7,-24
2019,3,Sunday,20,9,-11
2019,4,Sunday,16,7,-9
2019,5,Sunday,26,7,-19
2019,6,Sunday,25,8,-17
2019,7,Sunday,32,9,-23
2019,8,Sunday,40,24,-16
2019,9,Sunday,67,30,-37
2019,10,Sunday,98,45,-53
2019,11,Sunday,130,53,-77
2019,12,Sunday,137,76,-61
2019,13,Sunday,122,59,-63
2019,14,Sunday,114,46,-68
2019,15,Sunday,106,60,-46
2019,16,Sunday,116,56,-60
2019,17,Sunday,103,45,-58
2019,18,Sunday,83,47,-36
2019,19,Sunday,81,34,-47
2019,20,Sunday,51,15,-36
2019,21,Sunday,50,27,-23
2019,22,Sunday,32,23,-9
2019,23,Sunday,27,12,-15
2018,0,Monday,16,10,-6
2018,1,Monday,19,5,-14
2018,2,Monday,10,1,-9
2018,3,Monday,16,8,-8
2018,4,Monday,8,8,0
2018,5,Monday,35,15,-20
2018,6,Monday,71,24,-47
2018,7,Monday,92,39,-53
2018,8,Monday,145,51,-94
2018,9,Monday,101,42,-59
2018,10,Monday,74,42,-32
2018,11,Monday,83,37,-46
2018,12,Monday,83,39,-44
2018,13,Monday,105,48,-57
2018,14,Monday,112,50,-62
2018,15,Monday,146,77,-69
2018,16,Monday,162,56,-106
2018,17,Monday,153,68,-85
2018,18,Monday,136,46,-90
2018,19,Monday,67,24,-43
2018,20,Monday,45,17,-28
2018,21,Monday,45,17,-28
2018,22,Monday,39,11,-28
2018,23,Monday,22,11,-11
2018,0,Tuesday,10,8,-2
2018,1,Tuesday,15,6,-9
2018,2,Tuesday,10,4,-6
2018,3,Tuesday,5,9,4
2018,4,Tuesday,13,8,-5
2018,5,Tuesday,22,16,-6
2018,6,Tuesday,78,33,-45
2018,7,Tuesday,119,50,-69
2018,8,Tuesday,168,53,-115
2018,9,Tuesday,111,54,-57
2018,10,Tuesday,87,42,-45
2018,11,Tuesday,100,52,-48
2018,12,Tuesday,83,49,-34
2018,13,Tuesday,91,43,-48
2018,14,Tuesday,111,54,-57
2018,15,Tuesday,165,69,-96
2018,16,Tuesday,170,73,-97
2018,17,Tuesday,174,72,-102
2018,18,Tuesday,152,56,-96
2018,19,Tuesday,83,31,-52
2018,20,Tuesday,52,24,-28
2018,21,Tuesday,48,24,-24
2018,22,Tuesday,30,16,-14
2018,23,Tuesday,20,11,-9
2018,0,Wednesday,22,13,-9
2018,1,Wednesday,18,12,-6
2018,2,Wednesday,7,10,3
2018,3,Wednesday,7,7,0
2018,4,Wednesday,12,5,-7
2018,5,Wednesday,28,16,-12
2018,6,Wednesday,72,35,-37
2018,7,Wednesday,116,42,-74
2018,8,Wednesday,140,70,-70
2018,9,Wednesday,102,28,-74
2018,10,Wednesday,93,51,-42
2018,11,Wednesday,83,41,-42
2018,12,Wednesday,88,61,-27
2018,13,Wednesday,92,53,-39
2018,14,Wednesday,105,59,-46
2018,15,Wednesday,170,75,-95
2018,16,Wednesday,153,68,-85
2018,17,Wednesday,181,80,-101
2018,18,Wednesday,142,58,-84
2018,19,Wednesday,97,30,-67
2018,20,Wednesday,58,25,-33
2018,21,Wednesday,51,25,-26
2018,22,Wednesday,38,19,-19
2018,23,Wednesday,20,15,-5
2018,0,Thursday,23,8,-15
2018,1,Thursday,20,6,-14
2018,2,Thursday,13,7,-6
2018,3,Thursday,10,2,-8
